UniProt ID;Gene;Protein Name;Panel;Tissue Specificity
P07451;CA3;Carbonic anhydrase 3;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: skeletal muscle
P07478;PRSS2;Trypsin-2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: pancreas
P07711;CTSL;Procathepsin L;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: placenta
P07911;UMOD;Uromodulin;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: kidney
P07947;YES1;Tyrosine-protein kinase Yes;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
P07948;LYN;Tyrosine-protein kinase Lyn;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: bone marrow, lymphoid tissue
P07949;RET;Proto-oncogene tyrosine-protein kinase receptor Ret;Olink Explore Oncology, Olink Target 96 Oncology II;Group enriched: adrenal gland, brain, parathyroid gland
P08069;IGF1R;Insulin-like growth factor 1 receptor;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P08118;MSMB;Beta-microseminoprotein;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enriched: prostate
P08236;GUSB;Beta-glucuronidase;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
P08254;MMP3;Stromelysin-1;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enriched: salivary gland
P08397;HMBS;Porphobilinogen deaminase;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: bone marrow
P08473;MME;Neprilysin;Olink Explore Oncology, Olink Target 96 Neurology;Tissue enhanced: intestine, kidney
P08581;MET;Hepatocyte growth factor receptor;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: liver
P08648;ITGA5;Integrin alpha-5;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: smooth muscle, urinary bladder
P08670;VIM;Vimentin;Olink Explore Cardiometabolic, Olink Target 96 Oncology II;Low tissue specificity
P08709;F7;Coagulation factor VII;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
P08727;KRT19;Keratin, type I cytoskeletal 19;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: esophagus, intestine, salivary gland, urinary bladder
P08833;IGFBP1;Insulin-like growth factor-binding protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: liver
P08887;IL6R;Interleukin-6 receptor subunit alpha;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: liver, skeletal muscle
P08962;CD63;CD63 antigen;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P09104;ENO2;Gamma-enolase;Olink Explore Neurology, Olink Target 96 Metabolism;Group enriched: brain, retina
P09105;HBQ1;Hemoglobin subunit theta-1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: bone marrow
P09110;ACAA1;3-ketoacyl-CoA thiolase, peroxisomal;Olink Explore Oncology, Olink Target 96 Oncology III;Group enriched: kidney, liver
P09211;GSTP1;Glutathione S-transferase P;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: esophagus
P09238;MMP10;Stromelysin-2;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enriched: endometrium 1
P09326;CD48;CD48 antigen;Olink Explore Inflammation, Olink Target 96 Oncology II;Group enriched: bone marrow, lymphoid tissue
P09417;QDPR;Dihydropteridine reductase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: brain, choroid plexus
P09466;PAEP;Glycodelin;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: endometrium 1
P09467;FBP1;Fructose-1,6-bisphosphatase 1;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: intestine, kidney, liver
P09486;SPARC;SPARC;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: placenta
P09525;ANXA4;Annexin A4;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: gallbladder, pancreas
P09619;PDGFRB;Platelet-derived growth factor receptor beta;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
P09668;CTSH;Pro-cathepsin H;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: lung
P09758;TACSTD2;Tumor-associated calcium signal transducer 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: esophagus, salivary gland, skin 1
P09769;FGR;Tyrosine-protein kinase Fgr;Olink Explore Neurology, Olink Target 96 Organ Damage;Group enriched: bone marrow, lung, lymphoid tissue
P09874;PARP1;Poly [ADP-ribose] polymerase 1;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Low tissue specificity
P09958;FURIN;Furin;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: liver, salivary gland
P09960;LTA4H;Leukotriene A-4 hydrolase;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
P0CG37;CFC1;Cryptic protein;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain, pancreas, pituitary gland
P10451;SPP1;Osteopontin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: brain, gallbladder, kidney, placenta
P10586;PTPRF;Receptor-type tyrosine-protein phosphatase F;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
P10636;MAPT;Microtubule-associated protein tau;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: brain, skeletal muscle
P10646;TFPI;Tissue factor pathway inhibitor;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: liver, placenta
P10721;KIT;Mast/stem cell growth factor receptor Kit;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: breast
P11215;ITGAM;Integrin alpha-M;Olink Explore Neurology, Olink Target 96 Cardiometabolic;Tissue enriched: bone marrow
P11274;BCR;Breakpoint cluster region protein;Olink Explore Inflammation, Olink Target 96 Cell Regulation;Low tissue specificity
P11464;PSG1;Pregnancy-specific beta-1-glycoprotein 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enriched: placenta
P11717;IGF2R;Cation-independent mannose-6-phosphate receptor;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: skeletal muscle
P12034;FGF5;Fibroblast growth factor 5;Olink Explore Inflammation, Olink Target 96 Inflammation;Group enriched: brain, gallbladder
P12104;FABP2;Fatty acid-binding protein, intestinal;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: intestine
P12318;FCGR2A;Low affinity immunoglobulin gamma Fc region receptor II-a;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue, placenta
P12644;BMP4;Bone morphogenetic protein 4;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
P12724;RNASE3;Eosinophil cationic protein;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enriched: bone marrow
P12830;CDH1;Cadherin-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: parathyroid gland
P12872;MLN;Promotilin;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enriched: intestine
P12931;SRC;Proto-oncogene tyrosine-protein kinase Src;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Low tissue specificity
P13385;TDGF1;Teratocarcinoma-derived growth factor 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Tissue enhanced: kidney, lymphoid tissue
P13501;CCL5;C-C motif chemokine 5;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow, lymphoid tissue
P13521;SCG2;Secretogranin-2;Olink Explore Oncology, Olink Target 96 Oncology III;Group enriched: adrenal gland, brain, pituitary gland
P13591;NCAM1;Neural cell adhesion molecule 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: brain, heart muscle
P13598;ICAM2;Intercellular adhesion molecule 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue
P13611;VCAN;Versican core protein;Olink Explore Neurology, Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue, placenta
P13686;ACP5;Tartrate-resistant acid phosphatase type 5;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: lung
P13688;CEACAM1;Carcinoembryonic antigen-related cell adhesion molecule 1;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: intestine
P13693;TPT1;Translationally-controlled tumor protein;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: skeletal muscle
P13726;F3;Tissue factor;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Low tissue specificity
P13747;HLA-E;HLA class I histocompatibility antigen, alpha chain E;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
P13987;CD59;CD59 glycoprotein;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P14174;MIF;Macrophage migration inhibitory factor;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
P14317;HCLS1;Hematopoietic lineage cell-specific protein;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: bone marrow, lymphoid tissue
P14384;CPM;Carboxypeptidase M;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: adipose tissue
P14543;NID1;Nidogen-1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: placenta
P14625;HSP90B1;Endoplasmin;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P14778;IL1R1;Interleukin-1 receptor type 1;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Low tissue specificity
P14780;MMP9;Matrix metalloproteinase-9;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Group enriched: bone marrow, lymphoid tissue
P14784;IL2RB;Interleukin-2 receptor subunit beta;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: bone marrow, lymphoid tissue, placenta
P15018;LIF;Leukemia inhibitory factor;Olink Explore Neurology, Olink Target 96 Inflammation;Tissue enhanced: gallbladder, urinary bladder
P15085;CPA1;Carboxypeptidase A1;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: pancreas
P15086;CPB1;Carboxypeptidase B;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: pancreas
P15090;FABP4;Fatty acid-binding protein, adipocyte;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: adipose tissue, breast
P15121;AKR1B1;Aldo-keto reductase family 1 member B1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: adrenal gland
P15144;ANPEP;Aminopeptidase N;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: intestine, pancreas
P15151;PVR;Poliovirus receptor;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
P15260;IFNGR1;Interferon gamma receptor 1;Olink Explore Inflammation, Olink Target 96 Oncology II;Low tissue specificity
P15289;ARSA;Arylsulfatase A;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
P15291;B4GALT1;Beta-1,4-galactosyltransferase 1;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
P15311;EZR;Ezrin;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
P15328;FOLR1;Folate receptor alpha;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland
P15509;CSF2RA;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: placenta
P15529;CD46;Membrane cofactor protein;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P15848;ARSB;Arylsulfatase B;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
P15907;ST6GAL1;Beta-galactoside alpha-2,6-sialyltransferase 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Group enriched: liver, lymphoid tissue
P16109;SELP;P-selectin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
P16112;ACAN;Aggrecan core protein;Olink Explore Cardiometabolic, Olink Target 96 Development;Tissue enhanced: brain, seminal vesicle
P16234;PDGFRA;Platelet-derived growth factor receptor alpha;Olink Explore Cardiometabolic, Olink Target 96 Neurology;Tissue enhanced: ovary
P16278;GLB1;Beta-galactosidase;Olink Explore Neurology, Olink Target 96 Immune Response;Low tissue specificity
P16284;PECAM1;Platelet endothelial cell adhesion molecule;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enhanced: placenta
P16422;EPCAM;Epithelial cell adhesion molecule;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enhanced: intestine
P16444;DPEP1;Dipeptidase 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Group enriched: intestine, kidney, pancreas
P16455;MGMT;Methylated-DNA--protein-cysteine methyltransferase;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: liver
P16562;CRISP2;Cysteine-rich secretory protein 2;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enriched: testis
P16581;SELE;E-selectin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: urinary bladder
P16860;NPPB;Natriuretic peptides B;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: heart muscle
P16870;CPE;Carboxypeptidase E;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: brain, retina
P16871;IL7R;Interleukin-7 receptor subunit alpha;Olink Explore Neurology, Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue
P17405;SMPD1;Sphingomyelin phosphodiesterase;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
P17813;ENG;Endoglin;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: heart muscle
P17931;LGALS3;Galectin-3;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: intestine
P17936;IGFBP3;Insulin-like growth factor-binding protein 3;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: placenta
P17948;FLT1;Vascular endothelial growth factor receptor 1;Olink Explore Oncology, Olink Target 96 Oncology III;Tissue enriched: placenta
P18031;PTPN1;Tyrosine-protein phosphatase non-receptor type 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P18065;IGFBP2;Insulin-like growth factor-binding protein 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enhanced: pancreas
P18084;ITGB5;Integrin beta-5;Olink Explore Oncology, Olink Target 96 Oncology II;Low tissue specificity
P18510;IL1RN;Interleukin-1 receptor antagonist protein;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enriched: esophagus
P18564;ITGB6;Integrin beta-6;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enhanced: skeletal muscle, tongue
P18827;SDC1;Syndecan-1;Olink Explore Cardiometabolic, Olink Target 96 Oncology II;Tissue enhanced: esophagus, liver, skin 1
P19021;PAM;Peptidyl-glycine alpha-amidating monooxygenase;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: heart muscle
P19022;CDH2;Cadherin-2;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: heart muscle
P19256;CD58;Lymphocyte function-associated antigen 3;Olink Explore Inflammation, Olink Target 96 Development;Low tissue specificity
P19320;VCAM1;Vascular cell adhesion protein 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: lymphoid tissue
P19429;TNNI3;Troponin I, cardiac muscle;Olink Explore Cardiometabolic, Olink Target 96 Organ Damage;Tissue enriched: heart muscle
P19438;TNFRSF1A;Tumor necrosis factor receptor superfamily member 1A;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Low tissue specificity
P19474;TRIM21;E3 ubiquitin-protein ligase TRIM21;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P19801;AOC1;Amiloride-sensitive amine oxidase [copper-containing];Olink Explore Inflammation, Olink Target 96 Neuro Exploratory;Group enriched: intestine, kidney, placenta
P19878;NCF2;Neutrophil cytosol factor 2;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: bone marrow, lung, lymphoid tissue
P19883;FST;Follistatin;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: liver
P19957;PI3;Elafin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Group enriched: esophagus, lymphoid tissue, vagina
P19971;TYMP;Thymidine phosphorylase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P20023;CR2;Complement receptor type 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: lymphoid tissue
P20062;TCN2;Transcobalamin-2;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: kidney
P20138;CD33;Myeloid cell surface antigen CD33;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: bone marrow, lymphoid tissue
P20160;AZU1;Azurocidin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow
P20273;CD22;B-cell receptor CD22;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: brain, lymphoid tissue, ovary
P20333;TNFRSF1B;Tumor necrosis factor receptor superfamily member 1B;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue
P20340;RAB6A;Ras-related protein Rab-6A;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
P20472;PVALB;Parvalbumin alpha;Olink Explore Oncology, Olink Target 96 Organ Damage;Tissue enriched: parathyroid gland
P20711;DDC;Aromatic-L-amino-acid decarboxylase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Group enriched: intestine, kidney, retina
P20783;NTF3;Neurotrophin-3;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: ovary
P20849;COL9A1;Collagen alpha-1(IX) chain;Olink Explore Inflammation, Olink Target 96 Oncology III;Tissue enhanced: choroid plexus, prostate
P20936;RASA1;Ras GTPase-activating protein 1;Olink Explore Neurology, Olink Target 96 Organ Damage;Tissue enhanced: placenta
P21217;FUT3;3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: esophagus, intestine, retina, salivary gland
P21589;NT5E;5'-nucleotidase;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: cervix, retina
P21741;MDK;Midkine;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: ovary
P21757;MSR1;Macrophage scavenger receptor types I and II;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enriched: lung
P21802;FGFR2;Fibroblast growth factor receptor 2;Olink Explore Oncology, Olink Target 96 Neuro Exploratory;Tissue enhanced: brain, choroid plexus
P21810;BGN;Biglycan;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
P21860;ERBB3;Receptor tyrosine-protein kinase erbB-3;Olink Explore Inflammation, Olink Target 96 Oncology II;Low tissue specificity
P21964;COMT;Catechol O-methyltransferase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P21980;TGM2;Protein-glutamine gamma-glutamyltransferase 2;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Low tissue specificity
P22004;BMP6;Bone morphogenetic protein 6;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enhanced: placenta
P22105;TNXB;Tenascin-X;Olink Explore Neurology, Olink Target 96 Cardiometabolic;Tissue enriched: adrenal gland
P22223;CDH3;Cadherin-3;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: choroid plexus, ovary
P22466;GAL;Galanin peptides;Olink Explore Inflammation, Olink Target 96 Metabolism;Group enriched: brain, pituitary gland
P22748;CA4;Carbonic anhydrase 4;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: intestine
P22749;GNLY;Granulysin;Olink Explore Neurology, Olink Target 96 Cardiometabolic;Tissue enhanced: bone marrow, lymphoid tissue
P23141;CES1;Liver carboxylesterase 1;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enriched: liver
P23229;ITGA6;Integrin alpha-6;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P23280;CA6;Carbonic anhydrase 6;Olink Explore Neurology, Olink Target 96 Development;Tissue enriched: salivary gland
P23284;PPIB;Peptidyl-prolyl cis-trans isomerase B;Olink Explore Cardiometabolic, Olink Target 96 Development;Low tissue specificity
P23515;OMG;Oligodendrocyte-myelin glycoprotein;Olink Explore Oncology, Olink Target 96 Cell Regulation;Group enriched: brain, choroid plexus
P23526;AHCY;Adenosylhomocysteinase;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Low tissue specificity
P23582;NPPC;C-type natriuretic peptide;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enriched: brain
P23588;EIF4B;Eukaryotic translation initiation factor 4B;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P24001;IL32;Interleukin-32;Olink Explore Inflammation, Olink Target 96 Neuro Exploratory;Tissue enhanced: liver, pancreas
P24071;FCAR;Immunoglobulin alpha Fc receptor;Olink Explore Inflammation, Olink Target 96 Neuro Exploratory;Group enriched: bone marrow, lung, lymphoid tissue
P24158;PRTN3;Myeloblastin;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Tissue enriched: bone marrow
P24387;CRHBP;Corticotropin-releasing factor-binding protein;Olink Explore Inflammation, Olink Target 96 Development;Tissue enriched: liver
P24394;IL4R;Interleukin-4 receptor subunit alpha;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Low tissue specificity
P24592;IGFBP6;Insulin-like growth factor-binding protein 6;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Low tissue specificity
P24821;TNC;Tenascin;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: lymphoid tissue, smooth muscle
P25116;F2R;Proteinase-activated receptor 1;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: lymphoid tissue
P25445;FAS;Tumor necrosis factor receptor superfamily member 6;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
P25685;DNAJB1;DnaJ homolog subfamily B member 1;Olink Explore Oncology, Olink Target 96 Cell Regulation;Tissue enhanced: brain
P25774;CTSS;Cathepsin S;Olink Explore Neurology, Olink Target 96 Neurology;Tissue enhanced: bone marrow, lymphoid tissue
P25786;PSMA1;Proteasome subunit alpha type-1;Olink Explore Oncology, Olink Target 96 Organ Damage;Low tissue specificity
P25815;S100P;Protein S100-P;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: bone marrow, stomach 1, urinary bladder
P26010;ITGB7;Integrin beta-7;Olink Explore Oncology, Olink Target 96 Metabolism;Tissue enhanced: lymphoid tissue
P26022;PTX3;Pentraxin-related protein PTX3;Olink Explore Inflammation, Olink Target 96 Cardiovascular II;Tissue enhanced: adipose tissue, urinary bladder
P26447;S100A4;Protein S100-A4;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: bone marrow
P26951;IL3RA;Interleukin-3 receptor subunit alpha;Olink Explore Inflammation, Olink Target 96 Neuro Exploratory;Low tissue specificity
P27352;CBLIF;Cobalamin binding intrinsic factor;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular II;Tissue enriched: stomach 1
P27487;DPP4;Dipeptidyl peptidase 4;Olink Explore Cardiometabolic, Olink Target 96 Cardiometabolic;Tissue enhanced: intestine, parathyroid gland, placenta, prostate
P27540;ARNT;Aryl hydrocarbon receptor nuclear translocator;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P27695;APEX1;DNA-(apurinic or apyrimidinic site) endonuclease;Olink Explore Oncology, Olink Target 96 Metabolism;Low tissue specificity
P27930;IL1R2;Interleukin-1 receptor type 2;Olink Explore Inflammation, Olink Target 96 Cardiovascular III;Tissue enhanced: lymphoid tissue
P28325;CST5;Cystatin-D;Olink Explore Neurology, Olink Target 96 Inflammation;Tissue enriched: salivary gland
P28799;GRN;Progranulin;Olink Explore Neurology, Olink Target 96 Cardiovascular III;Low tissue specificity
P28827;PTPRM;Receptor-type tyrosine-protein phosphatase mu;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
P28838;LAP3;Cytosol aminopeptidase;Olink Explore Inflammation, Olink Target 96 Oncology III;Low tissue specificity
P28845;HSD11B1;11-beta-hydroxysteroid dehydrogenase 1;Olink Explore Inflammation, Olink Target 96 Immune Response;Tissue enriched: liver
P28907;CD38;ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1;Olink Explore Oncology, Olink Target 96 Neurology;Tissue enhanced: lymphoid tissue
P29017;CD1C;T-cell surface glycoprotein CD1c;Olink Explore Oncology, Olink Target 96 Metabolism;Tissue enriched: lymphoid tissue
P29218;IMPA1;Inositol monophosphatase 1;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P29317;EPHA2;Ephrin type-A receptor 2;Olink Explore Oncology, Olink Target 96 Oncology II;Tissue enhanced: esophagus
P29350;PTPN6;Tyrosine-protein phosphatase non-receptor type 6;Olink Explore Inflammation, Olink Target 96 Development;Tissue enhanced: bone marrow, lymphoid tissue
P30041;PRDX6;Peroxiredoxin-6;Olink Explore Oncology, Olink Target 96 Cell Regulation;Low tissue specificity
P30043;BLVRB;Flavin reductase (NADPH);Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: bone marrow
P30044;PRDX5;Peroxiredoxin-5, mitochondrial;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P30048;PRDX3;Thioredoxin-dependent peroxide reductase, mitochondrial;Olink Explore Inflammation, Olink Target 96 Immune Response;Low tissue specificity
P30086;PEBP1;Phosphatidylethanolamine-binding protein 1;Olink Explore Neurology, Olink Target 96 Development;Tissue enhanced: liver
P30203;CD6;T-cell differentiation antigen CD6;Olink Explore Inflammation, Olink Target 96 Inflammation;Tissue enhanced: intestine, lymphoid tissue
P30260;CDC27;Cell division cycle protein 27 homolog;Olink Explore Oncology, Olink Target 96 Oncology III;Low tissue specificity
P30519;HMOX2;Heme oxygenase 2;Olink Explore Neurology, Olink Target 96 Neuro Exploratory;Low tissue specificity
P30530;AXL;Tyrosine-protein kinase receptor UFO;Olink Explore Cardiometabolic, Olink Target 96 Cardiovascular III;Low tissue specificity
P30533;LRPAP1;Alpha-2-macroglobulin receptor-associated protein;Olink Explore Neurology, Olink Target 96 Neurology;Low tissue specificity
P30838;ALDH3A1;Aldehyde dehydrogenase, dimeric NADP-preferring;Olink Explore Inflammation, Olink Target 96 Organ Damage;Tissue enhanced: esophagus, salivary gland, stomach 1
P31431;SDC4;Syndecan-4;Olink Explore Cardiometabolic, Olink Target 96 Metabolism;Tissue enhanced: liver
P31948;STIP1;Stress-induced-phosphoprotein 1;Olink Explore Neurology, Olink Target 96 Development;Low tissue specificity
P31949;S100A11;Protein S100-A11;Olink Explore Cardiometabolic, Olink Target 96 Oncology II;Tissue enhanced: esophagus
P31994;FCGR2B;Low affinity immunoglobulin gamma Fc region receptor II-b;Olink Explore Oncology, Olink Target 96 Cardiovascular II;Tissue enriched: placenta
